,X1,X2,X3,X4,X5,X6,Y
X1,1.0,-0.6210700303016148,-0.6568679203870282,-0.7438688658162532,-0.1607871056010231,-0.010596662595466518,0.7804222390920712
X2,-0.6210700303016148,1.0,0.8740076008457496,0.7360726380285096,0.15819997035019548,0.051694066042005576,-0.7251592182326971
X3,-0.6568679203870282,0.8740076008457496,1.0,0.5537299000993462,0.12035128907957307,0.16905769467731385,-0.5339714813596312
X4,-0.7438688658162532,0.7360726380285096,0.5537299000993462,1.0,0.051675811873038865,-0.08979053436378563,-0.968760380046533
X5,-0.1607871056010231,0.15819997035019548,0.12035128907957307,0.051675811873038865,1.0,0.05914831824482649,-0.07111922349546856
X6,-0.010596662595466518,0.051694066042005576,0.16905769467731385,-0.08979053436378563,0.05914831824482649,1.0,0.07476133571798332
Y,0.7804222390920712,-0.7251592182326971,-0.5339714813596312,-0.968760380046533,-0.07111922349546856,0.07476133571798332,1.0
